"alength","elevel"
"short",1.43
"intermediate",-1.9
"intermediate",1.55
"intermediate",3.27
"intermediate",0.3
"intermediate",1.9
"intermediate",2.53
"intermediate",2.83
"intermediate",3.1
"intermediate",2.07
"intermediate",1.63
"intermediate",2.53
"intermediate",0.1
"intermediate",2.53
"short",-2.83
"long",1.6
"intermediate",2.27
"short",1.23
"intermediate",0.7
"intermediate",3.8
"short",-1.47
"intermediate",-2.37
"intermediate",0.67
"intermediate",-0.37
"long",3.6
"intermediate",3.2
"intermediate",3.05
"intermediate",1.97
"intermediate",3.33
"intermediate",2.9
"long",1.45
"long",4.1
"intermediate",2.77
"intermediate",4.05
"intermediate",2.13
"short",2.57
"intermediate",3.53
"long",3.37
"intermediate",3.67
"intermediate",2.13
"intermediate",1.4
"intermediate",3.5
"intermediate",3.53
"intermediate",2.2
"long",3.2
"intermediate",4.23
"intermediate",2.87
"intermediate",3.2
"intermediate",3.4
"long",3.2
"intermediate",4.17
"intermediate",4.3
"long",4.23
"long",3.43
"long",4.4
"long",3.27
"intermediate",3.07
"intermediate",4.03
"intermediate",3.07
"intermediate",4.43
"long",1.75
"long",1.77
"intermediate",1.33
"long",3.43
"intermediate",1.03
"intermediate",3.13
"intermediate",4.17
"intermediate",2.7
"intermediate",3.93
"long",3.5
"intermediate",3.9
"intermediate",2.17
"intermediate",3.13
"intermediate",-2.4
"intermediate",1.9
"short",3
"short",5.63
"short",2.8
"short",3.17
"short",2
"short",2.93
"short",2.87
"short",1.83
"short",1.05
"short",1
"short",2.77
"short",1.43
"short",5.8
"short",2.8
"short",1.17
"intermediate",1.6
"short",0.47
"short",2.33
"intermediate",0.67
"intermediate",0.73
"short",1.47
"short",0.1
