"source","type","weightgain"
"Beef","Low",90
"Beef","Low",76
"Beef","Low",90
"Beef","Low",64
"Beef","Low",86
"Beef","Low",51
"Beef","Low",72
"Beef","Low",90
"Beef","Low",95
"Beef","Low",78
"Beef","High",73
"Beef","High",102
"Beef","High",118
"Beef","High",104
"Beef","High",81
"Beef","High",107
"Beef","High",100
"Beef","High",87
"Beef","High",117
"Beef","High",111
"Cereal","Low",107
"Cereal","Low",95
"Cereal","Low",97
"Cereal","Low",80
"Cereal","Low",98
"Cereal","Low",74
"Cereal","Low",74
"Cereal","Low",67
"Cereal","Low",89
"Cereal","Low",58
"Cereal","High",98
"Cereal","High",74
"Cereal","High",56
"Cereal","High",111
"Cereal","High",95
"Cereal","High",88
"Cereal","High",82
"Cereal","High",77
"Cereal","High",86
"Cereal","High",92
"Fish","Low",79
"Fish","Low",87
"Fish","Low",72
"Fish","Low",69
"Fish","Low",53
"Fish","Low",76
"Fish","Low",59
"Fish","Low",92
"Fish","Low",81
"Fish","Low",72
"Fish","High",92
"Fish","High",71
"Fish","High",102
"Fish","High",62
"Fish","High",70
"Fish","High",90
"Fish","High",80
"Fish","High",95
"Fish","High",84
"Fish","High",105
